epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,350.163,0.5106,0.43656,0.88393,0.95225,0.99719,0.9831,0.84963,0.6177,0.42458,0.95934,0.0013994,0.0013994,0.0013994
93,353.821,0.52885,0.4436,0.8666,0.95228,0.99778,0.97833,0.85407,0.59985,0.43223,0.9478,0.0013928,0.0013928,0.0013928
94,357.453,0.5544,0.45544,0.88624,0.95049,1,0.97833,0.84471,0.59599,0.43704,0.95578,0.0013862,0.0013862,0.0013862
95,361.134,0.59895,0.47043,0.90345,0.95029,1,0.97357,0.83937,0.64511,0.4244,0.97046,0.0013796,0.0013796,0.0013796
96,364.804,0.54105,0.45874,0.90133,0.94742,0.95,0.94545,0.79227,0.73747,0.49339,0.97776,0.001373,0.001373,0.001373
97,368.37,0.5408,0.5118,0.86614,0.94723,0.95,0.90237,0.77167,0.78137,0.49231,1.02676,0.0013664,0.0013664,0.0013664
98,372.11,0.57972,0.49693,0.89653,0.94703,0.95,0.91067,0.78904,0.71673,0.42388,1.01479,0.0013598,0.0013598,0.0013598
99,375.814,0.52414,0.4552,0.88978,0.94683,0.95,0.92013,0.78479,0.70041,0.49226,1.0075,0.0013532,0.0013532,0.0013532
100,379.601,0.59387,0.46979,0.92609,0.94655,0.95,0.98417,0.81168,0.69549,0.48882,0.99379,0.0013466,0.0013466,0.0013466
101,383.236,0.58805,0.47723,0.90259,0.94847,0.95,0.985,0.81006,0.69609,0.46661,0.97488,0.00134,0.00134,0.00134
102,386.848,0.52906,0.46861,0.88577,0.9477,0.95,0.94693,0.79895,0.69774,0.4687,0.96706,0.0013334,0.0013334,0.0013334
103,390.898,0.57579,0.45475,0.92217,0.94789,0.95,0.94611,0.81568,0.64887,0.46448,0.95418,0.0013268,0.0013268,0.0013268
104,394.622,0.55657,0.49384,0.90333,0.94947,0.95,0.94879,0.85715,0.60108,0.4639,0.9416,0.0013202,0.0013202,0.0013202
105,398.307,0.58294,0.46737,0.92232,0.94931,0.95,0.94665,0.85502,0.62494,0.51078,0.94992,0.0013136,0.0013136,0.0013136
106,402.076,0.60686,0.47753,0.9345,0.94795,0.95,0.94665,0.84795,0.63607,0.49282,0.94613,0.001307,0.001307,0.001307
107,405.692,0.53723,0.45043,0.89838,0.95226,0.99747,0.99024,0.85078,0.62562,0.44637,0.94602,0.0013004,0.0013004,0.0013004
108,409.441,0.50272,0.45937,0.87057,0.95234,0.99907,0.99262,0.88351,0.58672,0.43818,0.93882,0.0012938,0.0012938,0.0012938
109,413.006,0.53597,0.43515,0.87451,0.95228,0.99792,0.99262,0.87281,0.60581,0.45763,0.93948,0.0012872,0.0012872,0.0012872
110,416.59,0.5266,0.42639,0.88773,0.95226,0.99751,0.99024,0.84529,0.63647,0.46771,0.94463,0.0012806,0.0012806,0.0012806
111,420.241,0.51896,0.47452,0.86447,0.95226,0.99736,0.99024,0.85128,0.62505,0.45974,0.9451,0.001274,0.001274,0.001274
112,423.981,0.53525,0.43209,0.86194,0.94743,0.95,0.9539,0.83262,0.62335,0.51021,0.94669,0.0012674,0.0012674,0.0012674
113,427.636,0.51451,0.40753,0.87756,0.94729,0.95,0.98795,0.85728,0.59428,0.4602,0.93085,0.0012608,0.0012608,0.0012608
114,431.251,0.55567,0.47491,0.89853,0.95095,1,0.99262,0.86632,0.59625,0.40896,0.92957,0.0012542,0.0012542,0.0012542
115,434.83,0.55636,0.45113,0.9066,0.9958,1,0.995,0.88597,0.59974,0.39208,0.92277,0.0012476,0.0012476,0.0012476
116,438.698,0.5769,0.44884,0.89562,1,0.99398,0.995,0.89046,0.57087,0.4057,0.9211,0.001241,0.001241,0.001241
117,442.279,0.47812,0.4163,0.86236,0.9518,1,0.99262,0.87476,0.56556,0.39244,0.92898,0.0012344,0.0012344,0.0012344
118,446.285,0.51007,0.42999,0.87764,0.95226,0.99741,0.98786,0.86938,0.56401,0.39413,0.93415,0.0012278,0.0012278,0.0012278
119,449.902,0.52058,0.40199,0.89041,0.94744,0.95,0.95878,0.84389,0.5741,0.42577,0.93745,0.0012212,0.0012212,0.0012212
120,454.426,0.53891,0.42088,0.87652,0.94732,0.95,0.91666,0.81989,0.65122,0.42399,0.99522,0.0012146,0.0012146,0.0012146
121,458.019,0.54807,0.42603,0.87953,0.9473,0.95,0.91322,0.80675,0.71483,0.45708,1.01701,0.001208,0.001208,0.001208
122,461.652,0.5515,0.44689,0.89605,0.94734,0.95,0.91798,0.78646,0.71156,0.47591,0.99657,0.0012014,0.0012014,0.0012014
123,465.284,0.52173,0.39022,0.86865,0.94726,0.95,0.92717,0.74632,0.71683,0.47491,0.98643,0.0011948,0.0011948,0.0011948
124,469.214,0.56381,0.41515,0.88769,0.94689,0.95,0.94881,0.78833,0.6627,0.41788,0.95961,0.0011882,0.0011882,0.0011882
125,472.776,0.55466,0.41656,0.90761,0.94662,0.95,0.95848,0.79574,0.63921,0.40067,0.95514,0.0011816,0.0011816,0.0011816
126,476.486,0.52156,0.40243,0.87874,0.94683,0.95,0.96417,0.81409,0.66276,0.41519,0.9646,0.001175,0.001175,0.001175
127,480.096,0.54747,0.3992,0.86847,0.94656,0.95,0.96917,0.8194,0.64164,0.44127,0.96237,0.0011684,0.0011684,0.0011684
128,483.81,0.57385,0.4726,0.90956,0.94733,0.95,0.91808,0.83668,0.50377,0.49242,0.92619,0.0011618,0.0011618,0.0011618
129,487.457,0.55783,0.43734,0.91347,0.94736,0.95,0.9108,0.82654,0.54819,0.47435,0.97509,0.0011552,0.0011552,0.0011552
130,491.061,0.55719,0.40579,0.90269,0.94725,0.95,0.90844,0.82436,0.58664,0.42506,0.98082,0.0011486,0.0011486,0.0011486
131,494.792,0.4782,0.40864,0.86361,0.94741,0.95,0.90942,0.81201,0.64276,0.46787,0.98457,0.001142,0.001142,0.001142
