epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,252.192,0.47935,0.3272,0.83274,0.99889,1,0.995,0.93352,0.38149,0.25362,0.81805,0.0010892,0.0010892,0.0010892
71,255.68,0.48037,0.34839,0.84426,0.99891,1,0.995,0.94282,0.35462,0.25487,0.81858,0.001076,0.001076,0.001076
72,259.248,0.48719,0.33071,0.85631,0.99893,1,0.995,0.92826,0.39334,0.26907,0.83332,0.0010628,0.0010628,0.0010628
73,262.745,0.47734,0.33516,0.8346,0.99894,1,0.995,0.93871,0.36301,0.25223,0.82351,0.0010496,0.0010496,0.0010496
74,266.232,0.5207,0.33038,0.85698,0.99889,1,0.995,0.93935,0.39421,0.26264,0.83305,0.0010364,0.0010364,0.0010364
75,269.699,0.49268,0.32904,0.83829,0.9988,1,0.995,0.95508,0.33749,0.25574,0.81726,0.0010232,0.0010232,0.0010232
76,273.301,0.47471,0.31736,0.82774,0.99892,1,0.995,0.94668,0.35929,0.24705,0.82747,0.00101,0.00101,0.00101
77,276.784,0.45693,0.32544,0.85419,1,1,0.995,0.93755,0.37155,0.26261,0.82702,0.0009968,0.0009968,0.0009968
78,280.293,0.45553,0.32831,0.83404,0.99892,1,0.995,0.94589,0.35588,0.25195,0.82553,0.0009836,0.0009836,0.0009836
79,283.75,0.47897,0.32491,0.85034,0.99891,1,0.995,0.9488,0.35984,0.24986,0.8235,0.0009704,0.0009704,0.0009704
80,287.253,0.48632,0.32749,0.83126,0.99884,1,0.995,0.94357,0.35936,0.25358,0.81877,0.0009572,0.0009572,0.0009572
81,291.045,0.50094,0.3331,0.86811,0.9989,1,0.995,0.94292,0.36847,0.25498,0.81902,0.000944,0.000944,0.000944
82,294.518,0.48704,0.32553,0.83783,0.99889,1,0.995,0.9346,0.37759,0.25549,0.82096,0.0009308,0.0009308,0.0009308
83,297.996,0.48202,0.31309,0.84386,0.99888,1,0.995,0.94163,0.35588,0.24658,0.81899,0.0009176,0.0009176,0.0009176
84,301.469,0.48788,0.32564,0.86213,0.99893,1,0.995,0.94225,0.35956,0.25691,0.81891,0.0009044,0.0009044,0.0009044
85,305.754,0.46672,0.30807,0.84358,0.99896,1,0.995,0.94402,0.35853,0.26486,0.82158,0.0008912,0.0008912,0.0008912
86,309.229,0.45724,0.31184,0.82473,0.99894,1,0.995,0.96236,0.33605,0.27094,0.81635,0.000878,0.000878,0.000878
87,313.687,0.50631,0.32025,0.84889,0.99892,1,0.995,0.942,0.37629,0.26202,0.82977,0.0008648,0.0008648,0.0008648
88,317.209,0.46643,0.30828,0.84327,0.99888,1,0.995,0.95662,0.3407,0.24843,0.8193,0.0008516,0.0008516,0.0008516
89,320.682,0.48982,0.3244,0.84483,0.9989,1,0.995,0.92953,0.38144,0.25876,0.83272,0.0008384,0.0008384,0.0008384
90,324.139,0.50256,0.33268,0.85519,0.9989,1,0.995,0.93827,0.36916,0.25198,0.83017,0.0008252,0.0008252,0.0008252
91,327.655,0.47954,0.31132,0.83534,0.99891,1,0.995,0.95885,0.33389,0.25791,0.81656,0.000812,0.000812,0.000812
92,331.205,0.48678,0.30403,0.82741,0.99889,1,0.995,0.93746,0.38175,0.25609,0.82735,0.0007988,0.0007988,0.0007988
93,334.726,0.44751,0.30303,0.84436,1,1,0.995,0.94262,0.35475,0.24547,0.82019,0.0007856,0.0007856,0.0007856
94,338.216,0.4663,0.30597,0.83902,0.9989,1,0.995,0.95718,0.31939,0.22737,0.8159,0.0007724,0.0007724,0.0007724
95,341.727,0.44911,0.28412,0.84039,0.99893,1,0.995,0.94317,0.34213,0.23221,0.82016,0.0007592,0.0007592,0.0007592
96,345.669,0.4418,0.28982,0.81298,0.99894,1,0.995,0.95083,0.33621,0.22279,0.81591,0.000746,0.000746,0.000746
97,349.178,0.49262,0.31386,0.85776,0.99891,1,0.995,0.94705,0.35065,0.23768,0.8236,0.0007328,0.0007328,0.0007328
98,352.641,0.42485,0.28799,0.82127,0.99892,1,0.995,0.95449,0.33466,0.24114,0.81751,0.0007196,0.0007196,0.0007196
99,356.125,0.47585,0.30443,0.83371,0.99892,1,0.995,0.94623,0.34921,0.24181,0.81882,0.0007064,0.0007064,0.0007064
100,359.611,0.45372,0.3018,0.85148,0.99894,1,0.995,0.95349,0.34216,0.22444,0.82043,0.0006932,0.0006932,0.0006932
101,363.109,0.47554,0.29917,0.83332,0.99893,1,0.995,0.93914,0.33479,0.22319,0.82123,0.00068,0.00068,0.00068
102,366.567,0.46421,0.30196,0.84715,0.99893,1,0.995,0.94896,0.33847,0.21801,0.81779,0.0006668,0.0006668,0.0006668
103,370.436,0.46932,0.30517,0.8304,0.99891,1,0.995,0.94447,0.33768,0.22738,0.81781,0.0006536,0.0006536,0.0006536
104,373.966,0.41858,0.29187,0.82536,0.99888,1,0.995,0.95737,0.33095,0.22126,0.819,0.0006404,0.0006404,0.0006404
105,377.447,0.44244,0.28265,0.83289,0.99891,1,0.995,0.93244,0.35801,0.2383,0.82346,0.0006272,0.0006272,0.0006272
106,380.918,0.45394,0.28457,0.83171,0.99891,1,0.995,0.93817,0.35171,0.23554,0.82233,0.000614,0.000614,0.000614
107,384.357,0.4642,0.29621,0.82814,0.99888,1,0.995,0.94355,0.34472,0.23537,0.81746,0.0006008,0.0006008,0.0006008
108,387.874,0.42208,0.28435,0.83103,0.9989,1,0.995,0.9464,0.35058,0.21668,0.82266,0.0005876,0.0005876,0.0005876
109,391.356,0.44207,0.28134,0.83332,0.99892,1,0.995,0.94786,0.36365,0.22263,0.82434,0.0005744,0.0005744,0.0005744
110,394.834,0.4514,0.29041,0.83582,0.99893,1,0.995,0.94688,0.33867,0.21319,0.8177,0.0005612,0.0005612,0.0005612
111,398.312,0.45501,0.28069,0.82887,0.99891,1,0.995,0.94738,0.33314,0.21901,0.81701,0.000548,0.000548,0.000548
112,401.88,0.45554,0.2837,0.84719,0.99893,1,0.995,0.95628,0.31478,0.21852,0.81237,0.0005348,0.0005348,0.0005348
113,405.376,0.43613,0.28167,0.83633,0.99894,1,0.995,0.94012,0.35387,0.22921,0.82051,0.0005216,0.0005216,0.0005216
114,408.872,0.43143,0.28698,0.82174,0.99892,1,0.995,0.9402,0.35819,0.23571,0.81962,0.0005084,0.0005084,0.0005084
115,412.396,0.42701,0.28041,0.8415,0.99892,1,0.995,0.94474,0.33725,0.2293,0.81446,0.0004952,0.0004952,0.0004952
116,415.931,0.4643,0.29299,0.83435,0.99893,1,0.995,0.95838,0.32505,0.21466,0.81549,0.000482,0.000482,0.000482
117,419.419,0.45343,0.28238,0.83241,0.9989,1,0.995,0.95215,0.35214,0.21558,0.82165,0.0004688,0.0004688,0.0004688
118,422.891,0.45329,0.28605,0.81896,0.99891,1,0.995,0.95654,0.31025,0.20792,0.8113,0.0004556,0.0004556,0.0004556
119,426.596,0.46452,0.28404,0.84058,0.99892,1,0.995,0.95721,0.32379,0.21012,0.81477,0.0004424,0.0004424,0.0004424
120,430.098,0.43705,0.28119,0.84056,0.99891,1,0.995,0.94716,0.37079,0.22326,0.82823,0.0004292,0.0004292,0.0004292
121,433.599,0.44946,0.28283,0.8433,0.99891,1,0.995,0.9553,0.34955,0.21833,0.82262,0.000416,0.000416,0.000416
122,437.086,0.43542,0.27105,0.83974,0.99891,1,0.995,0.9597,0.32532,0.20542,0.81613,0.0004028,0.0004028,0.0004028
123,440.545,0.41815,0.26567,0.82909,0.99892,1,0.995,0.94884,0.33626,0.2112,0.81811,0.0003896,0.0003896,0.0003896
124,444.05,0.43024,0.27228,0.82498,0.99892,1,0.995,0.95824,0.33008,0.2108,0.81605,0.0003764,0.0003764,0.0003764
125,447.512,0.42362,0.26626,0.80655,0.99891,1,0.995,0.95594,0.31309,0.21041,0.81452,0.0003632,0.0003632,0.0003632
126,450.969,0.41619,0.26592,0.83638,1,1,0.995,0.94854,0.32506,0.20747,0.81971,0.00035,0.00035,0.00035
127,454.427,0.42952,0.27235,0.83,1,1,0.995,0.96469,0.32053,0.20145,0.82025,0.0003368,0.0003368,0.0003368
128,458.027,0.42331,0.27166,0.81958,1,1,0.995,0.96206,0.32334,0.20515,0.82077,0.0003236,0.0003236,0.0003236
129,461.52,0.41128,0.25745,0.8299,1,1,0.995,0.95753,0.32555,0.20665,0.82153,0.0003104,0.0003104,0.0003104
130,465.028,0.42201,0.26875,0.8311,1,1,0.995,0.96859,0.31642,0.19744,0.81829,0.0002972,0.0002972,0.0002972
131,468.586,0.41419,0.25458,0.82237,1,1,0.995,0.95466,0.31733,0.20017,0.81792,0.000284,0.000284,0.000284
132,472.087,0.42567,0.2657,0.82104,1,1,0.995,0.95511,0.33199,0.19909,0.82353,0.0002708,0.0002708,0.0002708
133,475.59,0.41577,0.2647,0.83167,1,1,0.995,0.9561,0.33593,0.20615,0.82302,0.0002576,0.0002576,0.0002576
134,479.066,0.40591,0.25936,0.82002,1,1,0.995,0.95832,0.32802,0.20258,0.82062,0.0002444,0.0002444,0.0002444
135,482.91,0.40535,0.25321,0.83402,1,1,0.995,0.96528,0.32232,0.19488,0.81855,0.0002312,0.0002312,0.0002312
136,486.441,0.43355,0.25768,0.83357,1,1,0.995,0.96912,0.32131,0.19519,0.81883,0.000218,0.000218,0.000218
137,490.025,0.41774,0.26361,0.83625,1,1,0.995,0.96784,0.32986,0.19436,0.81905,0.0002048,0.0002048,0.0002048
138,493.53,0.42163,0.24581,0.83453,1,1,0.995,0.97028,0.31633,0.1858,0.81539,0.0001916,0.0001916,0.0001916
139,497.092,0.41917,0.25312,0.83312,1,1,0.995,0.97289,0.30295,0.18427,0.81222,0.0001784,0.0001784,0.0001784
140,500.679,0.39488,0.24517,0.83589,1,1,0.995,0.96784,0.30155,0.18474,0.81247,0.0001652,0.0001652,0.0001652
141,506.835,0.4024,0.2334,0.80306,1,1,0.995,0.96831,0.30056,0.18771,0.81375,0.000152,0.000152,0.000152
142,510.273,0.41094,0.23261,0.7965,1,1,0.995,0.96079,0.30452,0.18721,0.81438,0.0001388,0.0001388,0.0001388
143,513.837,0.40179,0.23041,0.80851,1,1,0.995,0.96035,0.3126,0.19066,0.8165,0.0001256,0.0001256,0.0001256
144,517.256,0.41255,0.23295,0.80589,1,1,0.995,0.95911,0.31258,0.18859,0.81646,0.0001124,0.0001124,0.0001124
145,520.653,0.40243,0.22707,0.80729,1,1,0.995,0.96328,0.30675,0.18916,0.81364,9.92e-05,9.92e-05,9.92e-05
146,523.958,0.3974,0.2271,0.80744,1,1,0.995,0.96474,0.3019,0.18914,0.81219,8.6e-05,8.6e-05,8.6e-05
147,527.284,0.40122,0.22114,0.79107,1,1,0.995,0.96546,0.30083,0.18702,0.81293,7.28e-05,7.28e-05,7.28e-05
148,530.623,0.40304,0.22264,0.79391,1,1,0.995,0.9704,0.30352,0.17646,0.81413,5.96e-05,5.96e-05,5.96e-05
149,533.99,0.40221,0.21758,0.80007,1,1,0.995,0.96422,0.308,0.17905,0.81546,4.64e-05,4.64e-05,4.64e-05
150,537.341,0.40176,0.22105,0.81207,1,1,0.995,0.96261,0.30898,0.18117,0.81598,3.32e-05,3.32e-05,3.32e-05
